# ----------------------------------------
# www.CommonFloor.com
# Pages
# 20151001-20151030
# ----------------------------------------

Page,Page Views,Unique Page Views,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/ark-cloud-city-bangalore/povp-22pl09,"2,506","1,815",00:02:24,208,31.58%,22.19%,<Rs.0.01
/prestige-shantiniketan-bangalore/povp-s6yjsx,"2,283","1,887",00:02:48,"1,312",42.72%,43.93%,<Rs.0.01
/sobha-dream-acres-bangalore/povp-de2hwa,"1,874","1,527",00:03:53,812,34.47%,37.09%,<Rs.0.01
/l-&-t-south-city-bangalore/povp-18nt1q,"1,420","1,168",00:02:16,858,38.24%,42.54%,<Rs.0.01
/adarsh-palm-retreat-bangalore/povp-u9a97x,"1,384","1,109",00:02:16,766,30.79%,33.74%,<Rs.0.01
/mahaveer-palatium-bangalore/povp-tawy95,"1,308","1,036",00:02:44,357,27.90%,31.35%,<Rs.0.01
/godrej-e-city-bangalore/povp-kxb7dd,"1,271",987,00:04:07,404,23.77%,33.28%,<Rs.0.01
/mj-amadeus-bangalore/povp-rkgecd,"1,223",950,00:02:51,205,29.49%,23.63%,<Rs.0.01
/nandaavana-the-exotic-bangalore/povp-03bltv,"1,188",938,00:02:32,214,27.14%,31.82%,Rs.0.00
/common-wealth-bangalore/povp-e82x1w,"1,151",844,00:03:01,330,32.52%,29.11%,<Rs.0.01
/salarpuria-greenage-bangalore/povp-a2hcxa,"1,113",941,00:02:39,611,28.25%,37.74%,<Rs.0.01
/nikoo-homes-bangalore/povp-kvgpxd,"1,105",897,00:03:52,640,32.16%,45.79%,<Rs.0.01
/pursuit-of-a-radical-rhapsody-bangalore/povp-uvzci7,"1,066",861,00:04:17,554,31.92%,48.59%,<Rs.0.01
/arvind-sporcia-bangalore/povp-xvzyi8,"1,007",771,00:02:59,208,33.65%,24.33%,<Rs.0.01
/brigade-lakefront-bangalore/povp-ealt72,"1,004",825,00:03:32,329,29.67%,32.87%,<Rs.0.01
/purva-riviera-bangalore/povp-zr1m4d,"1,003",819,00:01:53,501,29.90%,30.01%,<Rs.0.01
/sobha-city-bangalore/povp-agkmna,992,826,00:03:01,389,38.56%,35.89%,<Rs.0.01
/prestige-tranquility-bangalore/povp-1rjjij,983,790,00:03:11,498,32.21%,38.96%,<Rs.0.01
/brigade-gateway-enclave-bangalore/povp-c2cyoy,968,789,00:02:38,559,37.46%,42.87%,Rs.0.01
/ajmera-infinity-bangalore/povp-sxnzcc,966,778,00:02:01,525,32.77%,36.44%,Rs.0.01
/asset-elvira-bangalore/povp-zrsx6m,942,725,00:03:03,262,29.96%,27.18%,Rs.0.00
/brigade-meadows-bangalore/povp-1hcmnq,936,763,00:02:57,347,33.91%,33.55%,<Rs.0.01
/sv-brindhavanam-bangalore/povp-fvs5rt,929,725,00:02:21,276,30.55%,28.42%,<Rs.0.01
/sipani-bliss-bangalore/povp-l14krg,926,727,00:03:29,295,25.84%,35.75%,<Rs.0.01
/common-wealth-bangalore/povp-e82x1w?f=fb_sd,920,729,00:03:31,721,47.88%,61.30%,Rs.0.00
/hiranandani-glen-classic-bangalore/povp-2rlrz0,917,730,00:02:54,241,27.16%,29.23%,<Rs.0.01
/prestige-sunrise-park-bangalore/povp-1nryav,908,725,00:03:52,397,28.61%,35.35%,<Rs.0.01
/prestige-lakeside-habitat-bangalore/povp-4d7b35,877,732,00:04:24,458,36.05%,44.70%,<Rs.0.01
/alchemy-urban-forest-bangalore/povp-vtf07k,872,703,00:04:01,395,32.58%,37.39%,<Rs.0.01
/brigade-metropolis-bangalore/povp-r19hog,863,721,00:02:21,466,40.72%,38.82%,<Rs.0.01
/splendid-royale-bangalore/povp-tybzmb,859,653,00:02:04,97,25.81%,17.46%,<Rs.0.01
/srk-the-villagio-bangalore/povp-wc1id2,857,716,00:02:50,92,41.38%,28.70%,Rs.0.00
/millennium-valley-villa-bangalore/povp-wgtf9r,849,699,00:03:06,156,32.26%,33.33%,<Rs.0.01
/prestige-ferns-residency-bangalore/povp-x34tcd,843,694,00:03:34,318,30.03%,34.28%,<Rs.0.01
/song-of-the-south-bangalore/povp-490g86,839,672,00:03:32,304,35.67%,36.47%,<Rs.0.01
/bren-imperia-bangalore/povp-x1zf1w,835,695,00:02:38,114,38.79%,25.87%,<Rs.0.01
/dlf-new-town-westend-heights-bangalore/povp-1u9cjd,822,658,00:03:03,494,35.41%,38.81%,<Rs.0.01
/sekhar-hyde-park-bangalore/povp-1udqi2,822,660,00:02:49,123,33.61%,22.87%,<Rs.0.01
/hiranandani-queensgate-bangalore/povp-iufi2p,813,642,00:03:29,359,29.84%,34.56%,<Rs.0.01
/raj-serenity-bangalore/povp-5gce0c,798,643,00:02:23,425,24.94%,32.21%,<Rs.0.01
/suncity-apartments-bangalore/povp-hhmz44,781,633,00:02:07,431,32.64%,32.65%,Rs.0.00
/kolte-patil-mirabilis-bangalore/povp-lbhx8j,780,624,00:04:22,403,36.30%,46.79%,<Rs.0.01
/orchid-woods-bangalore/povp-5ls14a,768,583,00:02:54,358,31.65%,36.07%,<Rs.0.01
/sjr-avalon-bangalore/povp-bxkg9m,764,605,00:02:01,238,25.63%,23.43%,Rs.0.00
/elita-promenade-bangalore/povp-ynev4m,763,618,00:02:28,435,29.66%,36.96%,<Rs.0.01
/brigade-begonia-bangalore/povp-n38efz,756,628,00:03:53,284,36.46%,33.86%,<Rs.0.01
